162, 171
732, 222
380, 425
54, 484
400, 383
670, 56
488, 526
582, 176
86, 535
173, 594
552, 175
321, 445
51, 319
95, 415
236, 479
694, 426
374, 455
137, 264
53, 234
498, 167
33, 111
68, 476
374, 213
330, 496
584, 90
459, 505
372, 224
142, 592
786, 253
154, 362
359, 501
598, 533
22, 430
176, 545
726, 568
185, 232
63, 263
749, 107
766, 174
752, 83
585, 42
788, 233
428, 64
599, 226
353, 356
426, 323
509, 383
396, 189
199, 316
212, 508
389, 415
686, 186
15, 58
348, 43
100, 342
30, 324
571, 378
781, 573
274, 283
513, 369
770, 168
434, 486
724, 385
219, 293
492, 28
538, 31
68, 339
756, 433
500, 365
246, 62
556, 23
183, 560
324, 343
89, 107
587, 429
238, 46
731, 511
759, 542
334, 519
167, 385
714, 187
230, 180
759, 8
625, 82
562, 572
607, 401
346, 583
511, 218
647, 189
349, 389
58, 43
227, 111
79, 259
476, 345
464, 165
308, 542
164, 492
347, 505
228, 475
168, 456
